tournament,weight
AFC Asian Cup,0.9
African Cup of Nations,0.7
African Cup of Nations qualification,0.7
Al Ain International Cup,0.7
Arab Cup,0.7
CAFA Nations Cup,0.7
CONCACAF Nations League,0.6
COSAFA Cup,0.7
Canadian Shield,0.7
Copa América,0.95
Copa América qualification,0.95
FIFA Series,0.7
FIFA World Cup qualification,0.75
Friendly,0.3
Gold Cup,0.7
Gold Cup qualification,0.7
Gulf Cup,0.7
King's Cup,0.7
Kirin Cup,0.7
Oceania Nations Cup,0.7
Soccer Ashes,0.7
UEFA Euro,0.95
UEFA Euro qualification,0.75
UEFA Nations League,0.6
Unity Cup,0.7
