team,elo,squad_size,avg_age,median_age,age_std,avg_caps,total_caps,avg_goals,total_goals,avg_height_cm,height_std_cm,gk_count,df_count,mf_count,fw_count,gk_share,df_share,mf_share,fw_share,attack_depth,defense_depth,experience_index,tm_squad_size,tm_avg_age,wc_participations,foreigners_pct,market_value_eur,avg_market_value_eur,form_gf,form_ga,form_pts,host_flag,scenario_bias_prior,log_market_value,market_value_per_player,caps_per_player,goals_per_player
Algeria,1743.0,27,26.830000000000002,26.325,3.596582822624832,29.884615384615383,777.0,4.518518518518518,122,182.65384615384616,5.222584093663275,4,9,7,7,0.14814814814814814,0.3333333333333333,0.25925925925925924,0.25925925925925924,10.5,15.0,15.394159544159544,26.0,26.9,5.0,88.5,256899999.99999997,,39.715806590116586,9.305551563633099,41.5445131969205,0,0.0,19.364197465972676,9514814.814814813,28.77777777777778,4.518518518518518
Argentina,2113.0,27,29.090384615384615,28.259999999999998,4.369853526853484,48.11538461538461,1251.0,8.296296296296296,224,179.57692307692307,7.02095763794699,4,7,9,7,0.14814814814814814,0.25925925925925924,0.3333333333333333,0.25925925925925924,11.5,13.0,24.887321937321936,26.0,29.1,20.0,92.3,807500000.0,,26.833558502674588,3.8137702997895984,29.075671224128804,0,0.0,20.509453614299474,29907407.407407407,46.333333333333336,8.296296296296296
Australia,1783.0,27,27.33230769230769,27.09,4.89102141290942,28.26923076923077,735.0,2.740740740740741,74,183.57692307692307,7.945680974834446,4,10,5,8,0.14814814814814814,0.37037037037037035,0.18518518518518517,0.2962962962962963,10.5,16.0,14.408689458689459,26.0,27.4,7.0,80.8,77450000.0,,17.71657279352582,9.413788274852834,20.072884564457905,0,0.0,18.165143137738706,2868518.5185185187,27.22222222222222,2.740740740740741
Austria,1827.0,27,28.584615384615386,28.785,3.6646781367746115,38.61538461538461,1004.0,5.555555555555555,150,184.96153846153845,8.407048324974797,4,8,11,4,0.14814814814814814,0.2962962962962963,0.4074074074074074,0.14814814814814814,9.5,14.0,19.863247863247864,26.0,28.6,9.0,88.5,245200000.0,,23.55569578791227,6.680623452336334,23.356708543172104,0,0.0,19.317584766104634,9081481.481481481,37.18518518518518,5.555555555555555
Belgium,1867.0,27,27.587692307692308,25.73,5.066528837531517,41.73076923076923,1085.0,7.962962962962963,215,185.80769230769232,7.445907497514221,4,9,8,6,0.14814814814814814,0.3333333333333333,0.2962962962962963,0.2222222222222222,10.0,15.0,21.661680911680914,26.0,27.6,15.0,88.5,547500000.0,,31.970364391030174,9.48593674654711,23.457591847649038,0,0.0,20.120873021481415,20277777.777777776,40.18518518518518,7.962962962962963
Bosnia And Herzegovina,,27,26.430384615384618,27.65,4.855807640975273,23.576923076923077,613.0,3.5185185185185186,95,187.07692307692307,6.47409037269686,4,8,8,7,0.14814814814814814,0.2962962962962963,0.2962962962962963,0.25925925925925924,11.0,14.0,12.14031339031339,,,,,,,,,,0,0.0,,,22.703703703703702,3.5185185185185186
Brazil,1984.0,27,29.335384615384616,28.98,4.638602574715132,35.23076923076923,916.0,5.666666666666667,153,183.1153846153846,5.764213202697647,4,8,6,9,0.14814814814814814,0.2962962962962963,0.2222222222222222,0.3333333333333333,12.0,14.0,18.182051282051283,26.0,29.4,23.0,73.1,928200000.0,,24.671318748058237,12.55832996766705,21.61810634574259,0,0.0,20.648757785848705,34377777.777777776,33.925925925925924,5.666666666666667
Cabo Verde,,27,29.64846153846154,29.259999999999998,4.75549592981232,31.73076923076923,825.0,2.814814814814815,76,181.34615384615384,5.556562301943944,4,8,12,3,0.14814814814814814,0.2962962962962963,0.4444444444444444,0.1111111111111111,9.0,14.0,16.146866096866095,,,,,,,,,,0,0.0,,,30.555555555555557,2.814814814814815
Canada,1784.0,27,26.94538461538462,26.595,3.281057428048745,37.42307692307692,973.0,4.962962962962963,134,182.30769230769232,6.909525197981297,4,9,7,7,0.14814814814814814,0.3333333333333333,0.25925925925925924,0.25925925925925924,10.5,15.0,19.207834757834757,26.0,27.0,3.0,92.3,198650000.0,,18.819407621766718,10.098204448179898,23.293676113922796,1,0.0,19.10705504525886,7357407.407407408,36.03703703703704,4.962962962962963
Colombia,1975.0,27,30.063076923076924,29.674999999999997,3.870055058244799,40.11538461538461,1043.0,4.037037037037037,109,180.0,8.029943959953894,4,9,8,6,0.14814814814814814,0.3333333333333333,0.2962962962962963,0.2222222222222222,10.0,15.0,20.461396011396012,26.0,30.1,7.0,96.2,302350000.0,,23.780824027622096,11.655601871193523,22.369564517423424,0,0.0,19.52709584799092,11198148.148148147,38.629629629629626,4.037037037037037
